ID;Site;Latitude ;Longitude ;Exact location ;Literary source;Site type;Min_date;Max_date;Bibliography - title nr. 1 ;DOI;Bibliography - title nr. 2 ;DOI;Notes
52;Agia Triada (Ag. Georgios) SE CRETE 30;35,038655;26,135078;Y;;settlement;501;824;Schlager, Norbert. (with contributions by J. Böhm, K. Schaller, B. Pulsinger, G. A. Plattner, M. Goriany, K. Karolyi, W. K. Kovacsovics, A. Glaser, U. Fornwagner, and A. Angelinoudi). 1997. Minoische bis Rezente Ruinen im fernen Osten Kretas. Dokumentation 1996. Jahreshefte des Österreichischen Archäologischen Instituts, 66, s. 1-83.;;;;
53;Agia Triada (Ag. Georgios) SE CRETE 30;35,038655;26,135078;Y;;settlement ;961;1205;Schlager, Norbert. (with contributions by J. Böhm, K. Schaller, B. Pulsinger, G. A. Plattner, M. Goriany, K. Karolyi, W. K. Kovacsovics, A. Glaser, U. Fornwagner, and A. Angelinoudi). 1997. Minoische bis Rezente Ruinen im fernen Osten Kretas. Dokumentation 1996. Jahreshefte des Österreichischen Archäologischen Instituts, 66, s. 1-83.;;;;
54;Agia Triada/Phaistos;35,055597;24,802209;N;;coin;824;900;Miles, George C. 1970. The coinage of the Arab amirs of Crete. New York: American Numismatic Society.;;;;coordinates: between the villages 
55;Agies Paraskies ;35,210864;25,205402;N;;coin;901;1100;Watrous, L. Vance, D. Matthew Buell, Eleni Kokinou, and Pantelis Soupios. 2017. The Galatas Survey The Socio-Economic and Political Development of a Contested Territory in Central Crete During the Neolithic to Ottoman Periods. Havertown: Institute for Aegean Prehistory Press. http://public.eblib.com/choice/PublicFullRecord.aspx?p=6385959.;;;;hoard of coins (end of 10th - 11th), coordinates: village center
56;Agiofarango ;35,56939;24,084047;Y;;settlement ;961;1205;Tsougarakis, Dimitris. 1988. Byzantine Crete: from the 5th century to the Venetian conquest. Athens: St. D. Basilopoulos.;;;;gorge
57;Agioi Apostoloi;35,515199;23,977111;Y;;fortification\church;401;600;Tsougarakis, Dimitris. 1988. Byzantine Crete: from the 5th century to the Venetian conquest. Athens: St. D. Basilopoulos.;;Watrous, Livingston Vance, Despoina Hadzi-Vallianou, and Harriet Blitzer. 2004. The plain of Phaistos: cycles of social complexity in the Mesara region of Crete. Los Angeles, Calif: Cotsen Institute of Archaeology.;;4km W of Chania on the coast
58;Agioi Apostoloi - Mesa Lasithi ;35,181499;25,538392;Y;;settlement ;301;824;Pendlebury, J. D. S., Money-Coutts, M. B., & Pendlebury, H. W. (1937). Excavations in the Plain of Lasithi. II. The Annual of the British School at Athens, 38, 1–56. http://www.jstor.org/stable/30096688;;Nowicki, K. (1996). Lasithit (Crete): One Hundred Years of Archaeological Research. Aegean Archaeology, 3.;;
59;Agioi Apostoloi - Pantannasa - Voliotes;35,256936;24,593594;N;;coin;824;900;Miles, George C. 1970. The coinage of the Arab amirs of Crete. New York: American Numismatic Society.;;;;coordinates: village center (Pantanassa)
60;Agioi Deka - theatre;35,058061;24,958579;Y;;church;401;700;ΑΔ 62 (2007);;;;
61;Agioi Deka (Kainourgios, Heraklion);35,058655;24,960343;Y;;church;401;600;Gallas, Klaus, Klaus Wessel, and Manolis Borboudakis, M. 1983. Byzantinische Kreta, Műnchen.;;ΑΔ 61 (2006);;coordinates: village center
62;Agioi Deka (Kainourgios, Heraklion);35,058655;24,960343;Y;;church;961;1205;ΑΔ 61 (2006);;;;
63;Agioi Pantes (Mpampalis) - Ag. Pantes ;35,401108;24,151262;Υ;;church;961;1205;Gallas, Klaus, Klaus Wessel, and Manolis Borboudakis, M. 1983. Byzantinische Kreta, Műnchen.;;Antourakes, Georgios. 1978. Toichografimenoi Byzantinoi Naoi tes Kretes. Eparchia: Sfakion - Apokoronou - Rethymnes. Volume A. Athens.;;
